reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
reward : 0.00  ; episode length:500
