reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:673
reward : 0.00  ; episode length:355
reward : 0.00  ; episode length:409
reward : 0.00  ; episode length:474
reward : 0.00  ; episode length:266
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:194
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:622
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:467
reward : 0.00  ; episode length:471
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:673
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:363
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:541
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
