reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:673
reward : 0.00  ; episode length:355
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:343
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:745
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:875
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:734
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:381
reward : 1.00  ; episode length:844
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:846
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:897
reward : 0.00  ; episode length:405
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:759
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:930
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:632
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:515
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:926
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 1.00  ; episode length:450
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
reward : 0.00  ; episode length:1000
